"Obs","Price","SqFt","BedRooms","Baths","Garage","Zip"
74,89900,936,3,1.5,1,6
75,91600,1326,3,1,1,9
76,92800,1026,3,1,1,4
77,92900,960,3,1,1,6
78,93500,1416,3,1.5,1,5
79,94500,1456,3,1.5,1,9
80,94900,1100,3,1.5,1,9
81,94900,1560,3,1,1,4
82,94900,1100,3,1.5,1,9
83,95000,2229,4,3,1,9
84,95000,1296,3,1.5,1,6
85,96500,1400,3,1.5,1,9
86,99500,864,2,1,1,5
87,100900,1746,4,2,1,6
88,101500,1954,3,2,1,9
89,104000,1124,3,2,1,9
90,104900,1262,3,2,1,9
91,105000,1617,4,1,1,5
92,109900,1663,4,1.5,1,5
93,112500,1550,4,2,1,9
94,113000,1815,3,2.5,1,9
95,114900,1581,3,1.5,1,4
96,119900,1576,3,2.5,1,4
97,122900,1627,3,1,1,6
98,129900,1445,3,2,1,5
99,134900,1604,3,1.5,1,6
100,144900,1988,3,2,1,6
101,150000,2322,4,1.5,1,6
102,159500,2300,3,2,1,5
103,159900,2202,4,2,1,6
104,62000,1000,2,1,2,5
105,63900,1350,4,1,2,6
106,65000,853,3,1,2,4
107,72900,720,2,1,2,5
108,72900,944,3,1,2,9
109,72900,932,2,1,2,5
110,75000,2188,4,1.5,2,4
111,76500,925,3,1,2,9
112,76900,1400,3,1.5,2,4
113,79900,1096,3,1,2,9
114,79900,1300,3,1.5,2,5
115,79900,1172,3,1,2,9
116,81900,796,2,1,2,4
117,84500,864,2,1,2,4
118,84900,1350,3,1,2,4
119,84900,1400,3,2,2,9
120,89600,1504,3,1,2,4
121,87000,1200,2,1,2,4
122,87500,1359,3,2,2,5
123,88000,902,3,1.5,2,5
124,89000,944,2,2,2,9
125,89000,876,2,1,2,4
126,89000,1112,3,2,2,4
127,93900,1230,3,1.5,2,4
128,94500,1170,2,1,2,5
129,94900,1220,3,2,2,9
130,94900,1462,2,1.5,2,5
131,96000,1350,3,1.5,2,4
132,96500,1086,3,2,2,9
133,96900,1260,3,1,2,5
134,99900,1292,3,2,2,4
135,99900,1136,3,2,2,9
136,99900,1299,3,2,2,9
137,99900,1250,3,1,2,5
138,101900,1124,3,2,2,9
139,103500,1627,4,2,2,5
140,103500,1221,3,2,2,9
141,104500,1253,3,2.5,2,9
142,104900,1200,3,2,2,9
143,104900,1600,3,1.5,2,4
144,104900,1480,3,2.5,2,9
145,105000,1440,3,2,2,6
146,105000,1300,4,2,2,9
147,105500,1135,3,2,2,9
148,105900,1216,3,2,2,9
149,105900,1216,3,2,2,9
150,105900,1125,3,2,2,9
151,105900,1125,3,2,2,9
152,105900,1125,3,2,2,9
153,105900,1125,3,2,2,9
154,105900,1418,3,2.5,2,5
155,106000,1371,3,2.5,2,9
156,107500,1504,3,1.5,2,9
157,108500,1464,3,1.5,2,6
158,108500,1053,3,2,2,5
159,109000,1870,4,2.5,2,6
160,109500,1214,3,2,2,9
161,109500,1600,3,2,2,5
162,109900,1422,3,2.5,2,9
163,109900,1307,3,2,2,9
164,109900,1125,3,2,2,9
165,109900,1216,3,2,2,9
166,109900,1125,3,2,2,9
167,109900,1125,3,2,2,9
168,109900,1125,3,2,2,9
169,109900,1216,3,2,2,9
170,109900,1125,3,2,2,9
171,109900,1125,3,2,2,9
172,109900,1125,3,2,2,9
173,109900,1900,4,3,2,5
174,109900,1630,3,1.5,2,5
175,109900,1550,3,1,2,6
176,109900,1223,3,2,2,9
177,109900,1125,3,2,2,9
178,109900,1088,3,2,2,5
179,111000,1316,3,2,2,9
180,111900,1134,3,2,2,9
181,112000,1449,3,2.5,2,9
182,112000,1377,3,1.5,2,6
183,112900,1768,3,2,2,6
184,112900,1042,3,2,2,6
