"MPG","CarClass"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
13,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
12,"SUV"
11,"SUV"
11,"SUV"
11,"SUV"
40,"Small Car"
30,"Small Car"
29,"Small Car"
29,"Small Car"
29,"Small Car"
28,"Small Car"
28,"Small Car"
28,"Small Car"
27,"Small Car"
27,"Small Car"
27,"Small Car"
27,"Small Car"
27,"Small Car"
27,"Small Car"
27,"Small Car"
27,"Small Car"
27,"Small Car"
27,"Small Car"
27,"Small Car"
26,"Small Car"
26,"Small Car"
26,"Small Car"
26,"Small Car"
26,"Small Car"
26,"Small Car"
26,"Small Car"
26,"Small Car"
26,"Small Car"
26,"Small Car"
25,"Small Car"
25,"Small Car"
25,"Small Car"
25,"Small Car"
25,"Small Car"
25,"Small Car"
25,"Small Car"
25,"Small Car"
25,"Small Car"
25,"Small Car"
25,"Small Car"
24,"Small Car"
24,"Small Car"
24,"Small Car"
24,"Small Car"
24,"Small Car"
24,"Small Car"
24,"Small Car"
23,"Small Car"
23,"Small Car"
23,"Small Car"
23,"Small Car"
22,"Small Car"
22,"Small Car"
22,"Small Car"
22,"Small Car"
22,"Small Car"
22,"Small Car"
22,"Small Car"
22,"Small Car"
22,"Small Car"
22,"Small Car"
22,"Small Car"
22,"Small Car"
22,"Small Car"
21,"Small Car"
21,"Small Car"
21,"Small Car"
21,"Small Car"
21,"Small Car"
21,"Small Car"
21,"Small Car"
20,"Small Car"
20,"Small Car"
20,"Small Car"
20,"Small Car"
20,"Small Car"
20,"Small Car"
20,"Small Car"
20,"Small Car"
20,"Small Car"
19,"Small Car"
19,"Small Car"
19,"Small Car"
18,"Small Car"
18,"Small Car"
17,"Small Car"
17,"Small Car"
16,"Small Car"
23,"Sports/Sporty Car"
21,"Sports/Sporty Car"
21,"Sports/Sporty Car"
21,"Sports/Sporty Car"
20,"Sports/Sporty Car"
19,"Sports/Sporty Car"
19,"Sports/Sporty Car"
19,"Sports/Sporty Car"
19,"Sports/Sporty Car"
19,"Sports/Sporty Car"
19,"Sports/Sporty Car"
19,"Sports/Sporty Car"
19,"Sports/Sporty Car"
19,"Sports/Sporty Car"
19,"Sports/Sporty Car"
19,"Sports/Sporty Car"
19,"Sports/Sporty Car"
18,"Sports/Sporty Car"
18,"Sports/Sporty Car"
18,"Sports/Sporty Car"
18,"Sports/Sporty Car"
18,"Sports/Sporty Car"
18,"Sports/Sporty Car"
18,"Sports/Sporty Car"
18,"Sports/Sporty Car"
18,"Sports/Sporty Car"
18,"Sports/Sporty Car"
18,"Sports/Sporty Car"
18,"Sports/Sporty Car"
17,"Sports/Sporty Car"
17,"Sports/Sporty Car"
17,"Sports/Sporty Car"
17,"Sports/Sporty Car"
17,"Sports/Sporty Car"
17,"Sports/Sporty Car"
17,"Sports/Sporty Car"
17,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
16,"Sports/Sporty Car"
15,"Sports/Sporty Car"
15,"Sports/Sporty Car"
15,"Sports/Sporty Car"
15,"Sports/Sporty Car"
15,"Sports/Sporty Car"
15,"Sports/Sporty Car"
15,"Sports/Sporty Car"
15,"Sports/Sporty Car"
14,"Sports/Sporty Car"
14,"Sports/Sporty Car"
14,"Sports/Sporty Car"
14,"Sports/Sporty Car"
14,"Sports/Sporty Car"
14,"Sports/Sporty Car"
14,"Sports/Sporty Car"
13,"Sports/Sporty Car"
13,"Sports/Sporty Car"
13,"Sports/Sporty Car"
13,"Sports/Sporty Car"
13,"Sports/Sporty Car"
13,"Sports/Sporty Car"
12,"Sports/Sporty Car"
12,"Sports/Sporty Car"
12,"Sports/Sporty Car"
12,"Sports/Sporty Car"
12,"Sports/Sporty Car"
12,"Sports/Sporty Car"
12,"Sports/Sporty Car"
12,"Sports/Sporty Car"
11,"Sports/Sporty Car"
11,"Sports/Sporty Car"
11,"Sports/Sporty Car"
11,"Sports/Sporty Car"
11,"Sports/Sporty Car"
11,"Sports/Sporty Car"
11,"Sports/Sporty Car"
11,"Sports/Sporty Car"
11,"Sports/Sporty Car"
11,"Sports/Sporty Car"
9,"Sports/Sporty Car"
9,"Sports/Sporty Car"
8,"Sports/Sporty Car"
8,"Sports/Sporty Car"
30,"Station Wagons"
29,"Station Wagons"
26,"Station Wagons"
26,"Station Wagons"
26,"Station Wagons"
25,"Station Wagons"
23,"Station Wagons"
23,"Station Wagons"
22,"Station Wagons"
22,"Station Wagons"
22,"Station Wagons"
22,"Station Wagons"
22,"Station Wagons"
22,"Station Wagons"
21,"Station Wagons"
21,"Station Wagons"
21,"Station Wagons"
21,"Station Wagons"
21,"Station Wagons"
21,"Station Wagons"
21,"Station Wagons"
21,"Station Wagons"
21,"Station Wagons"
21,"Station Wagons"
21,"Station Wagons"
20,"Station Wagons"
20,"Station Wagons"
20,"Station Wagons"
20,"Station Wagons"
20,"Station Wagons"
20,"Station Wagons"
20,"Station Wagons"
20,"Station Wagons"
19,"Station Wagons"
19,"Station Wagons"
19,"Station Wagons"
19,"Station Wagons"
18,"Station Wagons"
18,"Station Wagons"
18,"Station Wagons"
18,"Station Wagons"
18,"Station Wagons"
17,"Station Wagons"
17,"Station Wagons"
17,"Station Wagons"
17,"Station Wagons"
17,"Station Wagons"
16,"Station Wagons"
16,"Station Wagons"
16,"Station Wagons"
16,"Station Wagons"
16,"Station Wagons"
15,"Station Wagons"
15,"Station Wagons"
15,"Station Wagons"
13,"Station Wagons"
23,"Upscale Sedan"
22,"Upscale Sedan"
21,"Upscale Sedan"
21,"Upscale Sedan"
21,"Upscale Sedan"
20,"Upscale Sedan"
20,"Upscale Sedan"
20,"Upscale Sedan"
20,"Upscale Sedan"
19,"Upscale Sedan"
19,"Upscale Sedan"
19,"Upscale Sedan"
19,"Upscale Sedan"
18,"Upscale Sedan"
18,"Upscale Sedan"
18,"Upscale Sedan"
18,"Upscale Sedan"
18,"Upscale Sedan"
18,"Upscale Sedan"
18,"Upscale Sedan"
18,"Upscale Sedan"
18,"Upscale Sedan"
18,"Upscale Sedan"
18,"Upscale Sedan"
18,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
17,"Upscale Sedan"
16,"Upscale Sedan"
16,"Upscale Sedan"
16,"Upscale Sedan"
16,"Upscale Sedan"
16,"Upscale Sedan"
16,"Upscale Sedan"
16,"Upscale Sedan"
15,"Upscale Sedan"
15,"Upscale Sedan"
15,"Upscale Sedan"
15,"Upscale Sedan"
15,"Upscale Sedan"
15,"Upscale Sedan"
15,"Upscale Sedan"
14,"Upscale Sedan"
14,"Upscale Sedan"
13,"Upscale Sedan"
15,"Van"
15,"Van"
14,"Van"
14,"Van"
14,"Van"
14,"Van"
14,"Van"
14,"Van"
14,"Van"
14,"Van"
13,"Van"
13,"Van"
13,"Van"
13,"Van"
13,"Van"
13,"Van"
13,"Van"
13,"Van"
13,"Van"
13,"Van"
13,"Van"
13,"Van"
12,"Van"
12,"Van"
12,"Van"
12,"Van"
